Time,Quality,Accuracy,Width,Height,Class_Counter,Total_Counter
2023-09-04-35.756597 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,291 ,291 
2023-09-04-35.822337 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,292 ,292 
2023-09-04-35.890813 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,293 ,293 
2023-09-04-35.956157 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,294 ,294 
2023-09-04-36.023840 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,295 ,295 
2023-09-04-36.091982 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,296 ,296 
2023-09-04-36.159386 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,297 ,297 
2023-09-04-36.226524 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,298 ,298 
2023-09-04-36.300010 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,299 ,299 
2023-09-04-36.371134 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,300 ,300 
2023-09-04-36.442327 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,301 ,301 
2023-09-04-36.510981 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,302 ,302 
2023-09-04-36.579002 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,303 ,303 
2023-09-04-36.648921 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,304 ,304 
2023-09-04-36.721155 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,305 ,305 
2023-09-04-36.793960 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,306 ,306 
2023-09-04-36.863811 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,307 ,307 
2023-09-04-36.933696 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,308 ,308 
2023-09-04-37.003974 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,309 ,309 
2023-09-04-37.070665 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,310 ,310 
2023-09-04-37.138212 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,311 ,311 
2023-09-04-37.206372 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,312 ,312 
2023-09-04-37.274884 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,313 ,313 
2023-09-04-37.343029 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,314 ,314 
2023-09-04-37.410306 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,315 ,315 
2023-09-04-37.479797 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,316 ,316 
2023-09-04-37.545095 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,317 ,317 
2023-09-04-37.615740 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,318 ,318 
2023-09-04-37.686086 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,319 ,319 
2023-09-04-37.759273 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,320 ,320 
2023-09-04-37.829188 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,321 ,321 
2023-09-04-37.900199 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,322 ,322 
2023-09-04-37.970764 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,323 ,323 
2023-09-04-38.044106 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,324 ,324 
2023-09-04-38.111832 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,325 ,325 
2023-09-04-38.179837 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,326 ,326 
2023-09-04-38.250771 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,327 ,327 
2023-09-04-38.322734 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,328 ,328 
2023-09-04-38.393288 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,329 ,329 
2023-09-04-38.463917 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,330 ,330 
2023-09-04-38.532925 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,331 ,331 
2023-09-04-38.604078 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,332 ,332 
2023-09-04-38.675176 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,333 ,333 
2023-09-04-38.743712 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,334 ,334 
2023-09-04-38.812316 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,335 ,335 
2023-09-04-38.883968 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,336 ,336 
2023-09-04-38.951393 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,337 ,337 
2023-09-04-39.019754 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,338 ,338 
2023-09-04-39.087058 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,339 ,339 
2023-09-04-39.156116 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,340 ,340 
2023-09-04-39.226069 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,341 ,341 
2023-09-04-39.296044 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,342 ,342 
2023-09-04-39.365126 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,343 ,343 
2023-09-04-39.438251 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,344 ,344 
2023-09-04-39.509592 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,345 ,345 
2023-09-04-39.578790 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,346 ,346 
2023-09-04-39.647181 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,347 ,347 
2023-09-04-39.716303 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,348 ,348 
2023-09-04-39.785144 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,349 ,349 
2023-09-04-39.856369 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,350 ,350 
2023-09-04-39.926122 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,351 ,351 
2023-09-04-39.995489 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,352 ,352 
2023-09-04-40.063877 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,353 ,353 
2023-09-04-40.132108 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,354 ,354 
2023-09-04-40.201929 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,355 ,355 
2023-09-04-40.272699 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,356 ,356 
2023-09-04-40.344075 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,357 ,357 
2023-09-04-40.416191 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,358 ,358 
2023-09-04-40.486573 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,359 ,359 
2023-09-04-40.556545 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,360 ,360 
2023-09-04-40.629651 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,361 ,361 
2023-09-04-40.702763 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,362 ,362 
2023-09-04-40.780933 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,363 ,363 
2023-09-04-40.852964 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,364 ,364 
2023-09-04-40.927116 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,365 ,365 
2023-09-04-40.998470 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,366 ,366 
2023-09-04-41.072397 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,367 ,367 
2023-09-04-41.141830 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,368 ,368 
2023-09-04-41.213731 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,369 ,369 
2023-09-04-41.284460 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,370 ,370 
2023-09-04-41.358045 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,371 ,371 
2023-09-04-41.427916 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,372 ,372 
2023-09-04-41.502933 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,373 ,373 
2023-09-04-41.572737 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,374 ,374 
2023-09-04-41.644569 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,375 ,375 
2023-09-04-41.714195 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,376 ,376 
2023-09-04-41.787845 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,377 ,377 
2023-09-04-41.860844 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,378 ,378 
2023-09-04-41.933035 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,379 ,379 
2023-09-04-42.004985 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,380 ,380 
2023-09-04-42.077809 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,381 ,381 
2023-09-04-42.147962 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,382 ,382 
2023-09-04-42.222361 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,383 ,383 
2023-09-04-42.293353 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,384 ,384 
2023-09-04-42.362993 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,385 ,385 
2023-09-04-42.430909 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,386 ,386 
2023-09-04-42.502149 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,387 ,387 
2023-09-04-42.569260 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,388 ,388 
2023-09-04-42.639040 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,389 ,389 
2023-09-04-42.706549 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,390 ,390 
2023-09-04-42.776113 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,391 ,391 
2023-09-04-42.847760 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,392 ,392 
2023-09-04-42.916305 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,393 ,393 
2023-09-04-42.984055 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,394 ,394 
2023-09-04-43.052637 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,395 ,395 
2023-09-04-43.122696 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,396 ,396 
2023-09-04-43.193018 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,397 ,397 
2023-09-04-43.262867 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,398 ,398 
2023-09-04-43.332571 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,399 ,399 
2023-09-04-43.403655 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,400 ,400 
2023-09-04-43.476022 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,401 ,401 
2023-09-04-43.543293 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,402 ,402 
2023-09-04-43.613502 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,403 ,403 
2023-09-04-43.683254 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,404 ,404 
2023-09-04-43.750802 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,405 ,405 
2023-09-04-43.832962 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,406 ,406 
2023-09-04-43.913548 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,407 ,407 
2023-09-04-43.991325 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,408 ,408 
2023-09-04-44.067928 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,409 ,409 
2023-09-04-44.143633 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,410 ,410 
2023-09-04-44.213638 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,411 ,411 
2023-09-04-44.281554 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,412 ,412 
2023-09-04-44.349674 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,413 ,413 
2023-09-04-44.417905 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,414 ,414 
2023-09-04-44.486206 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,415 ,415 
2023-09-04-44.552348 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,416 ,416 
2023-09-04-44.617144 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,417 ,417 
2023-09-04-44.684622 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,418 ,418 
2023-09-04-44.754194 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,419 ,419 
2023-09-04-02.398099 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,420 ,420 
2023-09-04-31.471051 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,421 ,421 
2023-09-04-40.013700 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,422 ,422 
2023-09-04-44.438175 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,423 ,423 
2023-09-04-44.494359 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,424 ,424 
2023-09-04-44.550379 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,425 ,425 
2023-09-04-44.605978 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,426 ,426 
2023-09-04-44.663917 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,427 ,427 
2023-09-04-44.723951 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,428 ,428 
2023-09-04-44.779183 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,429 ,429 
2023-09-04-44.839888 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,430 ,430 
2023-09-04-44.896010 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,431 ,431 
2023-09-04-44.952307 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,432 ,432 
2023-09-04-45.009792 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,433 ,433 
2023-09-04-45.065296 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,434 ,434 
2023-09-04-45.126370 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,435 ,435 
2023-09-04-45.181933 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,436 ,436 
2023-09-04-45.236545 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,437 ,437 
2023-09-04-45.292188 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,438 ,438 
2023-09-04-45.349409 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,439 ,439 
2023-09-04-10.660002 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,440 ,440 
2023-09-04-16.820253 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,441 ,441 
2023-09-04-21.631541 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,442 ,442 
2023-09-04-21.689977 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,443 ,443 
2023-09-04-21.744839 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,444 ,444 
2023-09-04-21.804008 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,445 ,445 
2023-09-04-21.859577 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,446 ,446 
2023-09-04-21.916847 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,447 ,447 
2023-09-04-21.972432 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,448 ,448 
2023-09-04-22.031028 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,449 ,449 
2023-09-04-22.090197 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,450 ,450 
2023-09-04-22.146181 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,451 ,451 
2023-09-04-22.202478 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,452 ,452 
2023-09-04-22.260893 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,453 ,453 
2023-09-04-22.317006 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,454 ,454 
2023-09-04-22.372486 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,455 ,455 
2023-09-04-22.428162 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,456 ,456 
2023-09-04-22.484812 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,457 ,457 
2023-09-04-22.540018 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,458 ,458 
2023-09-04-22.596215 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,459 ,459 
2023-09-04-22.652477 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,460 ,460 
2023-09-04-22.707800 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,461 ,461 
2023-09-04-22.766113 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,462 ,462 
2023-09-04-22.821932 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,463 ,463 
2023-09-04-22.878152 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,464 ,464 
2023-09-04-22.933234 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,465 ,465 
2023-09-04-22.991232 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,466 ,466 
2023-09-04-23.046567 ,Edible ,94.03% ,3.5 cm ,4.47 cm ,467 ,467 
